Variable,Coefficient,Std_Error,T_Statistic,P_Value,CI_Lower,CI_Upper
Intercept,1.4183062751892481,0.014847067680177765,95.52770323010117,0.0,1.3892065572600711,1.447405993118425
log_price,-0.2395395328073563,0.005397538457369509,-44.379402703523475,0.0,-0.25011851378897043,-0.22896055182574218
is_promotion,0.7419065587470349,0.027200554564869556,27.275420321953014,8.302539194447851e-164,0.688594451440374,0.7952186660536958
Q2,-0.05663550081962502,0.013174733369086146,-4.298796737133018,1.717278718573352e-05,-0.08245750372895191,-0.030813497910298124
Q3,0.012699647960719963,0.01281983984629034,0.9906245407890055,0.32186894990839054,-0.012426776425580606,0.03782607234702053
Q4,-0.1195992941990542,0.020430069414449473,-5.854081636867362,4.796529880641504e-09,-0.15964149445302847,-0.07955709394507993
is_peak_season,0.14232019359107356,0.021808872474449355,6.525793287012513,6.764255656388573e-11,0.0995755889977259,0.18506479818442123
price_x_promo,-0.007869727851812447,0.023895958284342697,-0.329333009296761,0.7419039966278796,-0.05470494546519567,0.03896548976157078
price_x_peak,0.030994082395602994,0.010996283290889785,2.8185962088918726,0.004823415359847408,0.009441763181659433,0.05254640160954656
log_qty_lag1,0.5691069800300623,0.003267682547282731,174.1622608056918,0.0,0.5627024399244781,0.5755115201356465
